du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,3.38,"quốc lộ 6, Phường Biên Giang, Quận Hà Đông, Hà Nội",,35.0,96.57,4.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
,9.2,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",,45.0,204.44,4.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,9.6,"Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,45.0,213.33,4.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,5.2,"Đê La Thành, Phường Giảng Võ, Quận Ba Đình, Hà Nội",,26.5,196.23,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,5.7,"Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",,51.0,111.76,,4.0,Đã có sổ,Nhà phố liền kề,,
,10.0,"117, Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,39.0,256.41,5.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ
,11.5,"Phố Tây Trà, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",,65.0,176.92,6.0,6.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,7.9,", Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội",,45.0,175.56,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,40.0,"Đường Trần Nhật Duật, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",,81.3,492.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ
,13.5,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",,47.0,287.23,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
,7.8,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",,40.0,195.0,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản
,13.0,"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,65.0,200.0,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản
,5.2,"Phố Tây Trà, Phường Trần Phú, Quận Hoàng Mai, Hà Nội",,48.0,108.33,2.0,2.0,Đã có sổ,"Nhà mặt phố, mặt tiền",2.0,Nội thất đầy đủ
,5.4,"Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",,60.0,90.0,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
,3.8,"Minh Khai, Phường Mai Động, Quận Hoàng Mai, Hà Nội",,20.0,190.0,4.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,4.69,"Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",,32.0,146.56,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,4.65,"Phố Thanh Lân, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",,31.0,150.0,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,6.25,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,33.0,189.39,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,4.8,"thành công, Phường Thành Công, Quận Ba Đình, Hà Nội",,28.0,171.43,,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,5.0,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,32.0,156.25,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,3.6,"Hạ Hội, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",,30.3,118.81,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,Hoàn thiện cơ bản
,6.15,"Phố An Trạch, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",,30.0,205.0,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,
,6.25,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,33.0,189.39,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,4.8,"thành công, Phường Thành Công, Quận Ba Đình, Hà Nội",,28.0,171.43,,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,5.0,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,32.0,156.25,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,3.6,"Hạ Hội, Xã Tân Lập, Huyện Đan Phượng, Hà Nội",,30.3,118.81,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,Hoàn thiện cơ bản
,6.15,"Phố An Trạch, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",,30.0,205.0,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,
,8.55,"Ngõ Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",,40.0,213.75,6.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất cao cấp
,5.1," Đường Yên Vĩnh, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",,31.5,161.9,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,4.6,"Hữu Hoà, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",,42.0,109.52,4.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,22.0,"Đường Nguyễn Xiển, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",,51.0,431.37,,4.0,Đã có sổ,Nhà phố liền kề,5.0,
,6.25,"Đường Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,1.8,"2, Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,20.0,90.0,2.0,2.0,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
,4.3,"Khương Trung , Phường Khương Trung, Quận Thanh Xuân, Hà Nội",,24.0,179.17,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,4.45,"Hữu Lê, Xã Hữu Hoà, Huyện Thanh Trì, Hà Nội",,35.0,127.14,3.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,50.0,"Phố Trần Quốc Toản, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",,100.0,500.0,4.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,Nội thất cao cấp
,55.0,"Phố Huế, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",,85.0,647.06,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ
,6.0,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",,44.0,136.36,,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,9.3,"Bồ đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",,60.0,155.0,,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
,4.35,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,30.0,145.0,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
,5.2,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",,32.0,162.5,,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,
