du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,8.7,"Khu 918 , Phường Phúc Đồng, Quận Long Biên, Hà Nội",,38.0,228.95,,,Đã có sổ,Đất thổ cư,,
,3.65,"thanh am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",,30.0,121.67,,,Đã có sổ,Đất thổ cư,,
,3.6,"Đại Lộ Thăng Long, Xã Yên Sơn, Huyện Quốc Oai, Hà Nội",,80.0,45.0,,,Đã có sổ,Đất thổ cư,,
,3.5,"Thuỷ Xuân Tiên, Xã Thủy Xuân Tiên, Huyện Chương Mỹ, Hà Nội",,265.0,13.21,,,Đã có sổ,Đất thổ cư,,
,3.5,"TL 412B, Xã Đông Yên, Huyện Quốc Oai, Hà Nội",,227.0,15.42,,,Đã có sổ,Đất thổ cư,,
,5.75,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,60.0,95.83,,,Đã có sổ,Đất thổ cư,,
,6.0,"Thôn Muồng Phú Vàng, Xã Vân Hòa, Huyện Ba Vì, Hà Nội",,856.0,7.01,,,Đã có sổ,Đất thổ cư,,
,3.08,"đường trục kinh tế phía bắc, Xã Cao Thành, Huyện Ứng Hòa, Hà Nội",,114.0,27.02,,,Đã có sổ,Đất thổ cư,,
,3.75,"quốc lộ 5, Xã Xuân Canh, Huyện Đông Anh, Hà Nội",,42.0,89.29,,,Đã có sổ,Đất thổ cư,,
,1.89,"kênh, Xã Minh Trí, Huyện Sóc Sơn, Hà Nội",,90.0,21.0,,,Đã có sổ,Đất thổ cư,,
,2.3,"2, Đường Quốc lộ 6 mở rộng (Ba La - Xuân Mai), Phường Biên Giang, Quận Hà Đông, Hà Nội",,46.6,49.36,,,Đã có sổ,Đất thổ cư,,
,1.97,"Vụ Bản, Xã Minh Trí, Huyện Sóc Sơn, Hà Nội",,85.0,23.18,,,Đã có sổ,Đất thổ cư,,
,1.36,"Liên Thôn , Xã Chương Dương, Huyện Thường Tín, Hà Nội",,48.0,28.33,,,Đã có sổ,Đất thổ cư,,
