du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,16.8,"Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Chưa bàn giao,68.0,247.06,6.0,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
HH1 Linh Đàm,3.0,"Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,76.0,39.47,,3,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
,12.8,"Phố Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Chưa bàn giao,60.0,213.33,,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
Khu đô thị mới Xa La,2.85,"Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Đã bàn giao,66.0,43.18,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.18,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đã bàn giao,60.0,53.0,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,
Khu đô thị Kim Văn - Kim Lũ (Golden Silk),3.3,"Nghiêm Xuân Yêm, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Đã bàn giao,66.0,50.0,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.768,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,62.0,60.77,2.0,2,Hợp đồng đặt cọc,Chung cư,,Nội thất cao cấp
,3.5,"Phố Gia Quất, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Chưa bàn giao,70.0,50.0,2.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,8.9,"Phố Ngọa Long, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,48.0,185.42,,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,3.63,"Phố Nguyễn Văn Ninh, Phường Giang Biên, Quận Long Biên, Hà Nội",Chưa bàn giao,76.0,47.76,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.05,"Phố Vạn Hạnh, Phường Việt Hưng, Quận Long Biên, Hà Nội",Chưa bàn giao,62.3,48.96,2.0,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,10.68,"Ngõ 155 Cầu Giấy, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,48.0,222.5,,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
Vinhomes Ocean Park Gia Lâm,3.6,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,45.0,2.0,3,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
Ecohome Phúc Lợi,3.0,"CT1 dọc đường 21m từ QL1B đến khu đô thị Việt Hưng, Phường Phúc Lợi, Quận Long Biên, Hà Nội, Phường Phúc Lợi, Quận Long Biên, Hà Nội",Chưa bàn giao,68.0,44.12,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,6.9,"Đường Châu Văn Liêm, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,73.0,94.52,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
