du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,2.38,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,50.0,47.6,,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.45,"11, Đường Đền Lừ 2, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Đã bàn giao,60.0,57.5,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,8.2,"19, Đường Nguyễn Trãi, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,120.0,68.33,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Smart City,3.66,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,55.0,66.55,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Chung cư Đại Thanh,3.55,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,84.0,42.26,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Ecohome Phúc Lợi,2.45,"Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",Đã bàn giao,46.0,53.26,1.0,2,Sổ hồng riêng,Chung cư,,
Ruby CT3 (Ruby City Long Biên),2.2,"Phúc Lợi, Phường Giang Biên, Quận Long Biên, Hà Nội",Đã bàn giao,48.8,45.08,2.0,2,Hợp đồng mua bán,Chung cư,,
Khu đô thị 54 Hạ Đình,3.93,"Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,80.0,49.12,2.0,3,Sổ hồng riêng,Chung cư,,
Khu đô thị mới Hạ Đình,3.93,"214, Nguyễn Xiển, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",Đã bàn giao,80.0,49.12,2.0,3,Sổ hồng riêng,Chung cư,,
,2.45,"Phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,65.0,37.69,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
Chung cư Đại Thanh,2.7,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,60.0,45.0,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
Vinhomes Smart City,3.58,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,55.0,65.09,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Chung cư Đại Thanh,2.28,"Phan Trọng Tuệ, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Đã bàn giao,47.0,48.51,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,1.35,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,50.0,27.0,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
SDU - 143 Trần Phú,3.3,"Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Đã bàn giao,68.0,48.53,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,2.5,"Đường Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,75.0,33.33,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,2.75,"Ngõ 147B Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,80.0,34.38,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,1.9,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,35.0,54.29,1.0,1,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.4,"Đường Dãy A5 Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,65.0,52.31,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,
,2.68,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,70.0,38.29,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,3.6,"Tân Msi, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,100.0,36.0,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,2.35,"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,70.0,33.57,2.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
SDU - 143 Trần Phú,3.3,"Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",Đã bàn giao,68.0,48.53,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,2.5,"Đường Vân Hồ 3, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,75.0,33.33,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,2.75,"Ngõ 147B Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,80.0,34.38,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,1.9,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,35.0,54.29,1.0,1,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.4,"Đường Dãy A5 Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,65.0,52.31,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,
,2.68,"Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,70.0,38.29,1.0,2,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,3.6,"Tân Msi, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,100.0,36.0,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,2.35,"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,70.0,33.57,2.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,4.4,"Đường Mỹ Đình 2, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,74.0,59.46,2.0,2,Hợp đồng đặt cọc,Chung cư,,Nội thất đầy đủ
,2.2,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,45.0,48.89,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,2.6,"Phố Lê Gia Đỉnh, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,55.0,47.27,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,2.55,"Phố Lê Gia Đỉnh, Phường Phố Huế, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,45.0,56.67,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,3.25,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Đã bàn giao,85.0,38.24,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất cao cấp
,10.5,"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Chưa bàn giao,130.0,80.77,2.0,3,Hợp đồng mua bán,Duplex,,Nội thất cao cấp
Vinhomes Smart City,2.87,"Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,43.0,66.74,1.0,1,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
