du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,8.6,"Phố Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",,40.0,215.0,5.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,
,7.8,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",,40.0,195.0,2.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,5.25,"Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,31.0,169.35,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,6.95,"16, Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,36.0,193.06,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,15.6,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,45.0,346.67,,5.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,10.8,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,40.0,270.0,6.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,
,36.9,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",,52.0,709.62,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,
,6.9,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",,35.0,197.14,,4.0,Đã có sổ,"Nhà ngõ, hẻm",,
,4.8,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",,33.0,145.45,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
,12.5,"Phố Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",,50.0,250.0,,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Hoàn thiện cơ bản
,5.25,"19, Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",,30.0,175.0,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,6.68,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",,48.0,139.17,4.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,11.6,"Phố Giáp Nhất, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,55.0,210.91,,6.0,Đã có sổ,"Nhà ngõ, hẻm",6.0,
,7.4,"Giang Văn Minh, Phường Cống Vị, Quận Ba Đình, Hà Nội",,38.0,194.74,6.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ
,5.555,"Phố Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",,69.0,80.51,2.0,4.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Hoàn thiện cơ bản
,29.0,"Phố Ngọc Hà, Phường Đội Cấn, Quận Ba Đình, Hà Nội",,107.0,271.03,4.0,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp
,4.6,"Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",,50.0,92.0,4.0,5.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,18.8,"Đường 800A, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,48.0,391.67,,5.0,Đã có sổ,Nhà phố liền kề,,
,2.59,Phố Ba La,,90.0,28.78,1.0,2.0,Đang chờ sổ,"Nhà ngõ, hẻm",,
,32.5,"Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",,80.0,406.25,5.0,6.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất cao cấp
,7.3,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội",,36.0,202.78,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,6.95,"Đường 19 Tháng 5, Phường Văn Quán, Quận Hà Đông, Hà Nội",,30.0,231.67,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,5.65,"Phố Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",,31.0,182.26,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",,
,31.5,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",,80.0,393.75,6.0,8.0,Đã có sổ,"Nhà mặt phố, mặt tiền",9.0,Nội thất đầy đủ
