du_an,price_VND,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing,category,Đường,Phường,Quận
,6.25,,33.0,189.39,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Hoàng Mai,Phường Hoàng Văn Thụ,Quận Hoàng Mai
,4.8,,28.0,171.43,0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Thành Công,Quận Ba Đình
,5.0,,32.0,156.25,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Lĩnh Nam,Phường Lĩnh Nam,Quận Hoàng Mai
,3.6,,30.3,118.81,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Hoàn thiện cơ bản,NhaDat,,,
,6.15,,30.0,205.0,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Quốc Tử Giám,Quận Đống Đa
,8.55,,40.0,213.75,6.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Thịnh Quang,Quận Đống Đa
,5.1,,31.5,161.9,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Yên Vĩnh,,
,4.6,,42.0,109.52,4.0,5.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,,,
,6.25,,37.0,168.92,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,Đường Láng,Phường Láng Hạ,Quận Đống Đa
,1.8,,20.0,90.0,2.0,2.0,Sổ chung / công chứng vi bằng,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,Đường Lĩnh Nam,Phường Lĩnh Nam,Quận Hoàng Mai
,4.3,,24.0,179.17,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Khương Trung,Quận Thanh Xuân
,4.45,,35.0,127.14,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,6.0,,44.0,136.36,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Trương Định,Phường Trương Định,Quận Hai Bà Trưng
,9.3,,60.0,155.0,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,,Phường Bồ Đề,Quận Long Biên
,4.35,,30.0,145.0,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,Đường Phúc Lợi,Phường Phúc Lợi,Quận Long Biên
,5.2,,32.0,162.5,0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,,Phường Long Biên,Quận Long Biên
,12.8,,50.0,256.0,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",6.0,Nội thất cao cấp,NhaDat,,Phường Bồ Đề,Quận Long Biên
,4.5,,31.0,145.16,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Đại Mỗ,Phường Đại Mỗ,Quận Nam Từ Liêm
,6.3,,40.0,157.5,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Cống Vị,Quận Ba Đình
,13.0,,65.0,200.0,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Đống Mác,Quận Hai Bà Trưng
,5.7,,33.0,172.73,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Tân Mai,Quận Hoàng Mai
,9.95,,33.0,301.52,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,Đường Thanh Bình,Phường Mộ Lao,Quận Hà Đông
,1.8,,15.0,120.0,2.0,2.0,Sổ chung / công chứng vi bằng,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,Phường Minh Khai,Quận Hai Bà Trưng
,15.0,,62.5,240.0,3.0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,NhaDat,Đường Công viên Văn Phú,Phường Phú La,Quận Hà Đông
,5.3,,35.0,151.43,5.0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Không rõ,NhaDat,,Phường Lĩnh Nam,Quận Hoàng Mai
,4.0,,26.0,153.85,2.0,2.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,,Phường Thanh Lương,Quận Hai Bà Trưng
,3.5,,16.0,218.75,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy
,8.7,,45.0,193.33,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Không rõ,NhaDat,,Phường Mai Dịch,Quận Cầu Giấy
,6.25,,37.0,168.92,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,Đường Láng,Phường Láng Thượng,Quận Đống Đa
,9.5,,55.0,172.73,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",0,Nội thất đầy đủ,NhaDat,,Phường Bưởi,Quận Tây Hồ
,3.45,,35.0,98.57,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,Đường Tả Thanh Oai,,
,5.39,,30.0,179.67,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,Đường La Thành,Phường Giảng Võ,Quận Ba Đình
,5.4,,59.0,91.53,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Lĩnh Nam,Phường Lĩnh Nam,Quận Hoàng Mai
,13.8,,54.0,255.56,6.0,6.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Hoàn thiện cơ bản,NhaDat,Đường Quang Trung,Phường La Khê,Quận Hà Đông
,2.7,,30.0,90.0,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất đầy đủ,NhaDat,,Phường Biên Giang,Quận Hà Đông
,12.5,,40.0,312.5,3.0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Hoàn thiện cơ bản,NhaDat,,Phường Mộ Lao,Quận Hà Đông
,4.2,,40.0,105.0,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,,
,9.8,,36.0,272.22,0,3.0,Đã có sổ,"nhà ngõ, hẻm",7.0,Hoàn thiện cơ bản,NhaDat,,Phường Ngọc Lâm,Quận Long Biên
,15.0,,55.0,272.73,5.0,6.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,NhaDat,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy
,9.3,,36.0,258.33,0,3.0,Đã có sổ,"nhà ngõ, hẻm",7.0,Nội thất cao cấp,NhaDat,Đường Nguyễn Sơn,Phường Gia Thụy,Quận Long Biên
,6.6,,31.0,212.9,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Khương Thượng,Quận Đống Đa
,5.85,,40.0,146.25,4.0,3.0,Đã có sổ,nhà phố liền kề,5.0,Nội thất đầy đủ,NhaDat,Đường Thạch Bàn,Phường Thạch Bàn,Quận Long Biên
,5.45,,69.3,78.64,4.0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,3.55,,33.0,107.58,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,Đường Thanh Lãm,Phường Phú Lãm,Quận Hà Đông
,10.5,,55.0,190.91,6.0,9.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm
,4.2,,36.0,116.67,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Hoàn thiện cơ bản,NhaDat,,,
,6.8,,36.0,188.89,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Nghĩa Đô,Quận Cầu Giấy
,2.05,,25.0,82.0,1.0,1.0,Sổ chung / công chứng vi bằng,"nhà ngõ, hẻm",2.0,Không rõ,NhaDat,,Phường Tân Mai,Quận Hoàng Mai
,7.5,,56.0,133.93,0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Cầu Dền,Quận Hai Bà Trưng
,15.5,,55.0,281.82,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",7.0,Nội thất cao cấp,NhaDat,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông
,2.05,,21.0,97.62,2.0,2.0,Giấy tờ viết tay,"nhà ngõ, hẻm",2.0,Hoàn thiện cơ bản,NhaDat,,Phường Tân Mai,Quận Hoàng Mai
,11.5,,45.0,255.56,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ,NhaDat,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông
,7.69,,38.0,202.37,4.0,6.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Trường Chinh,Phường Khương Thượng,Quận Đống Đa
,7.45,,60.0,124.17,3.0,3.0,Đã có sổ,"nhà ngõ, hẻm",3.0,Nội thất đầy đủ,NhaDat,,Phường Phương Mai,Quận Đống Đa
,8.5,,45.0,188.89,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,Phường Trung Liệt,Quận Đống Đa
,4.0,,36.0,111.11,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Tả Thanh Oai,,
,12.2,,45.0,271.11,0,6.0,Đã có sổ,"nhà ngõ, hẻm",6.0,Nội thất đầy đủ,NhaDat,,Phường Hàng Bột,Quận Đống Đa
,6.7,,44.0,152.27,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,5.3,,44.0,120.45,5.0,5.0,Đã có sổ,nhà phố liền kề,4.0,Không rõ,NhaDat,Đường Kiêu Kỵ,,
,8.8,,40.0,220.0,4.0,5.0,Đã có sổ,"nhà ngõ, hẻm",6.0,Không rõ,NhaDat,,Phường Thạch Bàn,Quận Long Biên
,7.686,,32.0,240.19,0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Hàng Bột,Quận Đống Đa
,3.4,,30.0,113.33,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,,
,6.8,,41.0,165.85,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,,
,7.8,,47.0,165.96,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,Đường Trương Định,,
,4.5,,25.0,180.0,0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,,Phường Tân Mai,Quận Hoàng Mai
,3.85,,18.0,213.89,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Bạch Mai,Quận Hai Bà Trưng
,7.8,,47.0,165.96,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Hoàn thiện cơ bản,NhaDat,Đường Trương Định,Phường Tân Mai,Quận Hoàng Mai
,3.49,,18.0,193.89,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy
,4.8,,45.0,106.67,3.0,4.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Nội thất cao cấp,NhaDat,,,
,5.0,,35.0,142.86,0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,,Phường Quang Trung,Quận Hà Đông
,2.2,,35.0,62.86,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,,
,5.95,,35.0,170.0,0,4.0,Đã có sổ,"nhà mặt phố, mặt tiền",5.0,Không rõ,NhaDat,Đường Nhân Huệ,Phường Đồng Mai,Quận Hà Đông
,10.8,,40.0,270.0,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",4.0,Không rõ,NhaDat,,Phường Nhân Chính,Quận Thanh Xuân
,4.8,,45.0,106.67,0,2.0,Đã có sổ,"nhà ngõ, hẻm",2.0,Nội thất đầy đủ,NhaDat,,Phường Minh Khai,Quận Hai Bà Trưng
,8.5,,38.0,223.68,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,,Phường Khương Đình,Quận Thanh Xuân
,5.7,,36.0,158.33,4.0,3.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,,Phường Long Biên,Quận Long Biên
,7.5,,42.0,178.57,4.0,5.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Không rõ,NhaDat,Đường Văn Cao,Phường Liễu Giai,Quận Ba Đình
,7.4,,40.0,185.0,4.0,4.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất đầy đủ,NhaDat,Đường Hoàng Hoa Thám,Phường Ngọc Hà,Quận Ba Đình
,3.85,,24.0,160.42,0,3.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,,Phường Đức Giang,Quận Long Biên
,14.0,,55.0,254.55,0,5.0,Đã có sổ,"nhà mặt phố, mặt tiền",0,Không rõ,NhaDat,Đường Kim Giang,Phường Hoàng Liệt,Quận Hoàng Mai
,5.8,,30.0,193.33,0,4.0,Đã có sổ,"nhà ngõ, hẻm",0,Không rõ,NhaDat,Đường Kim Giang,Phường Thanh Trì,Quận Hoàng Mai
,4.6,,45.0,102.22,4.0,5.0,Đã có sổ,"nhà ngõ, hẻm",5.0,Nội thất cao cấp,NhaDat,Đường Hữu Hoà,,
,2.4,,35.0,68.57,0,3.0,Đã có sổ,"nhà ngõ, hẻm",4.0,Không rõ,NhaDat,,,
,13.0,,44.0,295.45,3.0,3.0,Đã có sổ,"nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ,NhaDat,,Phường La Khê,Quận Hà Đông
